time,m,grainMass
0,0,373.845
0.0093,0.1349,373.0958
0.0148,0.1358,372.3422
0.0204,0.1366,371.5844
0.0259,0.1374,370.8222
0.0314,0.1381,370.0558
0.037,0.1389,369.285
0.0425,0.1396,368.51
0.048,0.1404,367.7307
0.0536,0.1412,366.947
0.0591,0.1419,366.1591
0.0647,0.1427,365.3668
0.0702,0.1434,364.5703
0.0757,0.1442,363.7695
0.0813,0.145,362.9643
0.0868,0.1457,362.1549
0.0923,0.1465,361.3411
0.0979,0.1473,360.5231
0.1034,0.148,359.7008
0.109,0.1488,358.8741
0.1145,0.1495,358.0432
0.12,0.1503,357.2079
0.1256,0.1511,356.3684
0.1311,0.1518,355.5246
0.1367,0.1526,354.6764
0.1422,0.1533,353.824
0.1477,0.1541,352.9673
0.1533,0.1548,352.1062
0.1588,0.1556,351.2409
0.1644,0.1564,350.3712
0.1699,0.1571,349.4973
0.1754,0.1579,348.6191
0.181,0.1586,347.7365
0.1865,0.1594,346.8497
0.1921,0.1602,345.9586
0.1976,0.1609,345.0631
0.2032,0.1617,344.1634
0.2087,0.1624,343.2594
0.2142,0.1632,342.351
0.2198,0.164,341.4384
0.2253,0.1647,340.5215
0.2309,0.1655,339.6002
0.2364,0.1662,338.6747
0.242,0.167,337.7448
0.2475,0.1677,336.8107
0.2531,0.1685,335.8723
0.2586,0.1693,334.9295
0.2642,0.17,333.9825
0.2697,0.1708,333.0312
0.2753,0.1715,332.0755
0.2808,0.1723,331.1156
0.2864,0.1731,330.1514
0.2919,0.1738,329.1828
0.2975,0.1746,328.21
0.303,0.1753,327.2329
0.3086,0.1761,326.2515
0.3141,0.1768,325.2657
0.3197,0.1776,324.2757
0.3252,0.1784,323.2814
0.3308,0.1791,322.2827
0.3363,0.1799,321.2798
0.3419,0.1806,320.2726
0.3474,0.1814,319.261
0.353,0.1821,318.2452
0.3585,0.1829,317.2251
0.3641,0.1836,316.2006
0.3696,0.1844,315.1719
0.3752,0.1852,314.1389
0.3807,0.1859,313.1016
